ver	lib	kind	class	typemark	name	info	libs
3.3	_builtin	class-only-in-full	RubyVM::YJIT	-	-	doc	_builtin
3.3	_builtin	method-only-in-full	RubyVM::YJIT	.	_dump_locations	priv UNDOC	_builtin
3.3	_builtin	method-only-in-full	RubyVM::YJIT	.	_print_stats	priv UNDOC	_builtin
3.3	_builtin	method-only-in-full	RubyVM::YJIT	.	_print_stats_reasons	priv UNDOC	_builtin
3.3	_builtin	method-only-in-full	RubyVM::YJIT	.	code_gc	pub doc(_builtin)	_builtin
3.3	_builtin	method-only-in-full	RubyVM::YJIT	.	disasm	pub UNDOC	_builtin
3.3	_builtin	method-only-in-full	RubyVM::YJIT	.	dump_exit_locations	pub doc(_builtin)	_builtin
3.3	_builtin	method-only-in-full	RubyVM::YJIT	.	enable	pub doc(_builtin)	_builtin
3.3	_builtin	method-only-in-full	RubyVM::YJIT	.	enabled?	pub doc(_builtin)	_builtin
3.3	_builtin	method-only-in-full	RubyVM::YJIT	.	exit_locations	pub UNDOC	_builtin
3.3	_builtin	method-only-in-full	RubyVM::YJIT	.	format_number	priv UNDOC	_builtin
3.3	_builtin	method-only-in-full	RubyVM::YJIT	.	format_number_pct	priv UNDOC	_builtin
3.3	_builtin	method-only-in-full	RubyVM::YJIT	.	insns_compiled	pub UNDOC	_builtin
3.3	_builtin	method-only-in-full	RubyVM::YJIT	.	print_and_dump_stats	priv UNDOC	_builtin
3.3	_builtin	method-only-in-full	RubyVM::YJIT	.	print_counters	priv UNDOC	_builtin
3.3	_builtin	method-only-in-full	RubyVM::YJIT	.	print_sorted_cfunc_calls	priv UNDOC	_builtin
3.3	_builtin	method-only-in-full	RubyVM::YJIT	.	print_sorted_exit_counts	priv UNDOC	_builtin
3.3	_builtin	method-only-in-full	RubyVM::YJIT	.	reset_stats!	pub doc(_builtin)	_builtin
3.3	_builtin	method-only-in-full	RubyVM::YJIT	.	runtime_stats	pub doc(_builtin)	_builtin
3.3	_builtin	method-only-in-full	RubyVM::YJIT	.	simulate_oom!	pub UNDOC	_builtin
3.3	_builtin	method-only-in-full	RubyVM::YJIT	.	stats_enabled?	pub doc(_builtin)	_builtin
3.3	_builtin	method-only-in-full	RubyVM::YJIT	.	stats_string	pub doc(_builtin)	_builtin
3.3	_builtin	method-only-in-full	RubyVM::YJIT	.	total_exit_count	priv UNDOC	_builtin
3.3	_builtin	method-only-in-full	RubyVM::YJIT	.	trace_exit_locations_enabled?	pub UNDOC	_builtin
3.3	_builtin	probe-differs	RubyVM::YJIT	.	code_gc	full=ok allruby=no-class	_builtin
3.3	_builtin	probe-differs	RubyVM::YJIT	.	dump_exit_locations	full=ok allruby=no-class	_builtin
3.3	_builtin	probe-differs	RubyVM::YJIT	.	enable	full=ok allruby=no-class	_builtin
3.3	_builtin	probe-differs	RubyVM::YJIT	.	enabled?	full=ok allruby=no-class	_builtin
3.3	_builtin	probe-differs	RubyVM::YJIT	.	reset_stats!	full=ok allruby=no-class	_builtin
3.3	_builtin	probe-differs	RubyVM::YJIT	.	runtime_stats	full=ok allruby=no-class	_builtin
3.3	_builtin	probe-differs	RubyVM::YJIT	.	stats_enabled?	full=ok allruby=no-class	_builtin
3.3	_builtin	probe-differs	RubyVM::YJIT	.	stats_string	full=ok allruby=no-class	_builtin
